STORE_ID,WEB_STORE_NAME,STORE_NAME,LAST_UPDATE_DT
1191,B DALTON BOOKSELLER #1191          ,B DALTON BOOKSELLER #1191          ,9/29/2011
1192,B DALTON BOOKSELLER #1192          ,B DALTON BOOKSELLER #1192          ,9/29/2011
1193,B DALTON 1193                      ,B DALTON 1193                      ,9/29/2011
1195,B DALTON 1195                      ,B DALTON 1195                      ,9/29/2011
1197,Arrowhead Towne Center,Arrowhead Towne Center,9/29/2011
1198,Plaza Drive,Plaza Drive,9/29/2011
1199,BARNES & NOBLE PROCESSING          ,BARNES & NOBLE PROCESSING          ,9/29/2011
1201,BDB PROTOTYPE A                    ,BDB PROTOTYPE A                    ,9/29/2011
1202,BDB PROTOTYPE B                    ,BDB PROTOTYPE B                    ,9/29/2011
1203,BDB PROTOTYPE C                    ,BDB PROTOTYPE C                    ,9/29/2011
1204,BDB PROTOTYPE D                    ,BDB PROTOTYPE D                    ,9/29/2011
1205,BDB PROTOTYPE E                    ,BDB PROTOTYPE E                    ,9/29/2011
1206,BDB PROTOTYPE F                    ,BDB PROTOTYPE F                    ,9/29/2011
1207,BDB PROTOTYPE G                    ,BDB PROTOTYPE G                    ,9/29/2011
1208,BDB PROTOTYPE H                    ,BDB PROTOTYPE H                    ,9/29/2011
1209,BDB PROTOTYPE I                    ,BDB PROTOTYPE I                    ,9/29/2011
1210,BDB PROTOTYPE J                    ,BDB PROTOTYPE J                    ,9/29/2011
1211,BDB PROTOTYPE K                    ,BDB PROTOTYPE K                    ,9/29/2011
1212,BDB PROTOTYPE L                    ,BDB PROTOTYPE L                    ,9/29/2011
1213,BDB PROTOTYPE M                    ,BDB PROTOTYPE M                    ,9/29/2011
1214,BDB PROTOTYPE N                    ,BDB PROTOTYPE N                    ,9/29/2011
1221,DOUBLEDAY PROTOTYPE A              ,DOUBLEDAY PROTOTYPE A              ,9/29/2011
1222,DOUBLEDAY PROTOTYPE B              ,DOUBLEDAY PROTOTYPE B              ,9/29/2011
1223,DOUBLEDAY PROTOTYPE C              ,DOUBLEDAY PROTOTYPE C              ,9/29/2011
1224,DOUBLEDAY PROTOTYPE D              ,DOUBLEDAY PROTOTYPE D              ,9/29/2011
1225,DOUBLEDAY PROTOTYPE E              ,DOUBLEDAY PROTOTYPE E              ,9/29/2011
1226,DOUBLEDAY PROTOTYPE F              ,DOUBLEDAY PROTOTYPE F              ,9/29/2011
1227,DOUBLEDAY PROTOTYPE G              ,DOUBLEDAY PROTOTYPE G              ,9/29/2011
1228,DOUBLEDAY PROTOTYPE H              ,DOUBLEDAY PROTOTYPE H              ,9/29/2011
1229,DOUBLEDAY PROTOTYPE I              ,DOUBLEDAY PROTOTYPE I              ,9/29/2011
1230,DOUBLEDAY PROTOTYPE J              ,DOUBLEDAY PROTOTYPE J              ,9/29/2011
1231,DOUBLEDAY PROTOTYPE K              ,DOUBLEDAY PROTOTYPE K              ,9/29/2011
1232,DOUBLEDAY PROTOTYPE L              ,DOUBLEDAY PROTOTYPE L              ,9/29/2011
1233,DOUBLEDAY PROTOTYPE M              ,DOUBLEDAY PROTOTYPE M              ,9/29/2011
1234,DOUBLEDAY PROTOTYPE N              ,DOUBLEDAY PROTOTYPE N              ,9/29/2011
1241,BOOKSTOP PROTYTPE                  ,BOOKSTOP PROTYTPE                  ,9/29/2011
1242,BOOKSTOP PROTYPE B                 ,BOOKSTOP PROTYPE B                 ,9/29/2011
1243,BOOKSTOP PROTYPE C                 ,BOOKSTOP PROTYPE C                 ,9/29/2011
1244,BOOKSTOP PROTYPE D                 ,BOOKSTOP PROTYPE D                 ,9/29/2011
1245,BOOKSTOP PROTYPE E                 ,BOOKSTOP PROTYPE E                 ,9/29/2011
1246,BOOKSTOP PROTOTYPE F               ,BOOKSTOP PROTOTYPE F               ,9/29/2011
1247,BOOKSTOP PROTOTYPE G               ,BOOKSTOP PROTOTYPE G               ,9/29/2011
1248,BOOKSTOP PROTOTYPE H               ,BOOKSTOP PROTOTYPE H               ,9/29/2011
1249,BOOKSTOP PROTOTYPE I               ,BOOKSTOP PROTOTYPE I               ,9/29/2011
1250,BOOKSTOP PROTOTYTPE J              ,BOOKSTOP PROTOTYTPE J              ,9/29/2011
1251,BOOKSTOP PROTOTYPE K               ,BOOKSTOP PROTOTYPE K               ,9/29/2011
1252,BOOKSTOP PROTOTYPE L               ,BOOKSTOP PROTOTYPE L               ,9/29/2011
1253,BOOKSTOP PROTOTYPE M               ,BOOKSTOP PROTOTYPE M               ,9/29/2011
1254,BOOKSTOP PROTOTYPE N               ,BOOKSTOP PROTOTYPE N               ,9/29/2011
1261,B&N PROTOTYPE A                    ,B&N PROTOTYPE A                    ,9/29/2011
1262,B&N PROTOTYPE B                    ,B&N PROTOTYPE B                    ,9/29/2011
1263,B&N PROTOTYPE C                    ,B&N PROTOTYPE C                    ,9/29/2011
1264,B&N PROTOTYPE D                    ,B&N PROTOTYPE D                    ,9/29/2011
1265,B&N PROTOTYPE E                    ,B&N PROTOTYPE E                    ,9/29/2011
1266,B&N PROTOTYPE F                    ,B&N PROTOTYPE F                    ,9/29/2011
1267,B&N PROTOTYPE H                    ,B&N PROTOTYPE H                    ,9/29/2011
1268,B&N,B&N,9/29/2011
1269,B&N PROTOTYPE I                    ,B&N PROTOTYPE I                    ,9/29/2011
1270,B&N PROTOTYPE J                    ,B&N PROTOTYPE J                    ,9/29/2011
1271,B&N PROTOTYPE K                    ,B&N PROTOTYPE K                    ,9/29/2011
1272,B&N PROTOTYPE L                    ,B&N PROTOTYPE L                    ,9/29/2011
1273,B&N PROTOTYPE M                    ,B&N PROTOTYPE M                    ,9/29/2011
1274,B&N PROTOTYPE N                    ,B&N PROTOTYPE N                    ,9/29/2011
1299,BARNES & NOBLE PROCESSING          ,BARNES & NOBLE PROCESSING          ,9/29/2011
1301,P.B. PAGES 1301                    ,P.B. PAGES 1301                    ,9/29/2011
1302,P.B.PAGES 1302                     ,P.B.PAGES 1302                     ,9/29/2011
1303,P.B. PAGES #1303                   ,P.B. PAGES #1303                   ,9/29/2011
1304,CHARLESBANK BOOKSHOP 1304          ,CHARLESBANK BOOKSHOP 1304          ,9/29/2011
1305,Charlesbank / Belmont Center,Charlesbank / Belmont Center,9/29/2011
1306,B.DALTON BOOKSELLER 1306           ,B.DALTON BOOKSELLER 1306           ,9/29/2011
1398,BARNES & NOBLE                     ,BARNES & NOBLE                     ,9/29/2011
1399,MARBORO - WAREHOUSE                ,MARBORO - WAREHOUSE                ,9/29/2011
1401,SUPERMART                          ,SUPERMART                          ,9/29/2011
1402,SUPERMART                          ,SUPERMART                          ,9/29/2011
1403,SUPERMART                          ,SUPERMART                          ,9/29/2011
1404,SUPERMART                          ,SUPERMART                          ,9/29/2011
1405,SUPERMART                          ,SUPERMART                          ,9/29/2011
1406,SUPERMART                          ,SUPERMART                          ,9/29/2011
1407,SUPERMART                          ,SUPERMART                          ,9/29/2011
1408,SUPERMART                          ,SUPERMART                          ,9/29/2011
1409,SUPERMART                          ,SUPERMART                          ,9/29/2011
1410,SUPERMART                          ,SUPERMART                          ,9/29/2011
1411,SUPERMART                          ,SUPERMART                          ,9/29/2011
1412,SUPERMART                          ,SUPERMART                          ,9/29/2011
1413,Ink Newsstand / Barton Creek Square,Ink Newsstand / Barton Creek Square,9/29/2011
1414,Ink Newsstand / Meriden Square Mall,Ink Newsstand / Meriden Square Mall,9/29/2011
1415,Ink Newsstand / Cary Towne Center,Ink Newsstand / Cary Towne Center,9/29/2011
1416,Ink Newsstand / UniversityTown Ctr,Ink Newsstand / UniversityTown Ctr,9/29/2011
1430,SUPERMART                          ,SUPERMART                          ,9/29/2011
1435,SUPERMART                          ,SUPERMART                          ,9/29/2011
1456,SUPERMART                          ,SUPERMART                          ,9/29/2011
1457,SUPERMART                          ,SUPERMART                          ,9/29/2011
1458,SUPERMART                          ,SUPERMART                          ,9/29/2011
1459,SUPERMART                          ,SUPERMART                          ,9/29/2011
1463,SUPERMART                          ,SUPERMART                          ,9/29/2011
1499,SUPERMART                          ,SUPERMART                          ,9/29/2011
1505,Macomb Mall,Macomb Mall,9/29/2011
1506,Laguna Hills,Laguna Hills,9/29/2011
1507,B DALTON BOOKSELLER 1507           ,B DALTON BOOKSELLER 1507           ,9/29/2011
1508,Bergen Mall,Bergen Mall,9/29/2011
1509,B DALTON BOOKSELLER 1509           ,B DALTON BOOKSELLER 1509           ,9/29/2011
1510,Tysons Corner,Tysons Corner,9/29/2011
1511,B DALTON #1511                     ,B DALTON #1511                     ,9/29/2011
1512,Cutler Ridge Mall,Cutler Ridge Mall,9/29/2011
1514,Westchester Avenue,Westchester Avenue,9/29/2011
1515,Galleria At Sunset,Galleria At Sunset,9/29/2011
1516,Cottonwood Mall,Albuquerque / Cottonwood Mall,9/29/2011
1518,West Valley Mall,West Valley Mall,9/29/2011
1519,Rimrock Mall,Rimrock Mall,9/29/2011
1520,Newgate Mall,Newgate Mall,9/29/2011
1521,Northridge Fashion Ctr,Northridge / Northridge Fashion Ctr,9/29/2011
1522,North Hills Mall,North Hills Mall,9/29/2011
1523,B DALTON #1523                     ,B DALTON #1523                     ,9/29/2011
1524,B DALTON #1524                     ,B DALTON #1524                     ,9/29/2011
1525,Hillsdale Shopping Center,Hillsdale Shopping Center,9/29/2011
1526,Eagle Ridge Mall,Eagle Ridge Mall,9/29/2011
1527,B. DALTON #1527                    ,B. DALTON #1527                    ,9/29/2011
1528,B. DALTON #1528                    ,B. DALTON #1528                    ,9/29/2011
1529,Mall Of Louisiana,Mall Of Louisiana,9/29/2011
1530,Park Place,Park Place,9/29/2011
1531,North Plains Mall,North Plains Mall,9/29/2011
1532,Regency Square,Jacksonville / Regency Square Mall,9/29/2011
1533,B. DALTON #1533                    ,B. DALTON #1533                    ,9/29/2011
1535,North Riverside Park Mall,North Riverside Park Mall,9/29/2011
1536,South Shore Plaza,South Shore Plaza,9/29/2011
1537,River Hills Mall,River Hills Mall,9/29/2011
1538,South Towne Center,South Towne Center,9/29/2011
1539,Horton Plaza,Horton Plaza,9/29/2011
1540,Pointe Orlando,Pointe Orlando,9/29/2011
1541,Yorktown Shopping Center,Yorktown Shopping Center,9/29/2011
1542,Sierra Vista,AZ/Sierra Vista,9/29/2011
1601,DOUBLEDAY BOOK SHOPS 1601          ,DOUBLEDAY BOOK SHOPS 1601          ,9/29/2011
1602,DOUBLEDAY BOOK SHOPS 1602          ,DOUBLEDAY BOOK SHOPS 1602          ,9/29/2011
1603,DOUBLEDAY BOOK SHOPS 1603          ,DOUBLEDAY BOOK SHOPS 1603          ,9/29/2011
1609,DOUBLEDAY BOOK SHOPS 1609          ,DOUBLEDAY BOOK SHOPS 1609          ,9/29/2011
1615,TRAVELDAYS                         ,TRAVELDAYS                         ,9/29/2011
1616,DOUBLEDAY BOOK SHOPS 1616          ,DOUBLEDAY BOOK SHOPS 1616          ,9/29/2011
1617,Wheatley Plaza,Wheatley Plaza,9/29/2011
1618,DOUBLEDAY BOOK SHOPS 1618          ,DOUBLEDAY BOOK SHOPS 1618          ,9/29/2011
1620,DOUBLEDAY BOOK SHOPS 1620          ,DOUBLEDAY BOOK SHOPS 1620          ,9/29/2011
1621,DOUBLEDAY BOOK SHOPS 1621          ,DOUBLEDAY BOOK SHOPS 1621          ,9/29/2011
1622,DOUBLEDAY BOOK SHOPS 1622          ,DOUBLEDAY BOOK SHOPS 1622          ,9/29/2011
1624,DOUBLEDAY BOOK SHOPS 1624          ,DOUBLEDAY BOOK SHOPS 1624          ,9/29/2011
1625,DOUBLEDAY BOOK SHOPS 1625          ,DOUBLEDAY BOOK SHOPS 1625          ,9/29/2011
1626,Doubleday / Ave At Tower City Ctr,Doubleday / Ave At Tower City Ctr,9/29/2011
1627,Lakeforest Mall,Lakeforest Mall,9/29/2011
1628,Fair Oaks Mall,Fair Oaks Mall,9/29/2011
1629,DOUBLEDAY BOOK SHOPS 1629          ,DOUBLEDAY BOOK SHOPS 1629          ,9/29/2011
1630,DOUBLEDAY BOOK SHOPS 1630          ,DOUBLEDAY BOOK SHOPS 1630          ,9/29/2011
1631,DOUBLEDAY BOOK SHOPS 1631          ,DOUBLEDAY BOOK SHOPS 1631          ,9/29/2011
1632,DOUBLEDAY BOOK SHOPS 1632          ,DOUBLEDAY BOOK SHOPS 1632          ,9/29/2011
1633,DOUBLEDAY BOOK SHOPS 1633          ,DOUBLEDAY BOOK SHOPS 1633          ,9/29/2011
1634,Briarwood Mall,Briarwood Mall,9/29/2011
1635,DOUBLEDAY BOOK SHOPS 1635          ,DOUBLEDAY BOOK SHOPS 1635          ,9/29/2011
1636,DOUBLEDAY BOOK SHOPS 1636          ,DOUBLEDAY BOOK SHOPS 1636          ,9/29/2011
1637,DOUBLEDAY BOOK SHOPS 1637          ,DOUBLEDAY BOOK SHOPS 1637          ,9/29/2011
1639,DOUBLEDAY BOOK SHOPS 1639          ,DOUBLEDAY BOOK SHOPS 1639          ,9/29/2011
1645,TRAVELDAYS 1645                    ,TRAVELDAYS 1645                    ,9/29/2011
1646,DOUBLEDAY BOOK SHOPS 1646          ,DOUBLEDAY BOOK SHOPS 1646          ,9/29/2011
1647,DOUBLEDAY BOOK SHOPS 1647          ,DOUBLEDAY BOOK SHOPS 1647          ,9/29/2011
