TimeStamp|StoreNumber|RegisterNumber|TransactionNumber|CustomerType|CustomerNumber|EmailAddress|RecommendedEans
2011-08-08 16:32:57.6780|2260|11|7638|Unknown|0000000000||
2011-08-08 16:32:58.5530|2029|5|4551|Unknown|0000000000||9780375427978,9780375427961,9781419553578,9781427797865,9781893858558
2011-08-08 16:32:59.7562|2991|4|7103|Unknown|0000000000||
2011-08-08 16:32:59.9437|2675|7|4148|Unknown|0000000000||9780811874557,9781402778278,9780345518163,9780762424917,9780061992704
2011-08-08 16:33:00.1624|2072|1|3121|Unknown|0000000000||9781844831883,9781592858491,9780142001196,9780812992779,9780071615013
2011-08-08 16:33:00.7249|2280|7|4695|Unknown|0000000000||9780742417762,9780742417885,9780739870952,9780865303058,9781932210101
2011-08-08 16:33:00.8968|2942|3|2123|Member|5237935452||
2011-08-08 16:33:01.2718|2550|8|2826|Unknown|0000000000||
2011-08-08 16:33:13.2096|2753|1|2457|Unknown|0000000000||9781416586296,9780307454546,9780451224989,9781416589648,9780446582216
2011-08-08 16:33:13.5846|2609|5|7577|Member|5001757375||9781594480003,9780679720225,9780679720218,9780451524935,9780451526342
2011-08-08 16:33:14.1783|2805|6|8207|Member|5024939621||9780528355288,9780760789810,9780528355295,9780760789827,9780528355301
2011-08-08 16:33:15.0846|2100|2|4618|Member|5054684878||9780679725312,9780385333818,9780679723424,9780385333900,9780385334174
2011-08-08 16:33:17.2565|2194|4|326|Unknown|0000000000||9780800759490,9780764207945,9781416546641,9780425226469,9780425221792
2011-08-08 16:33:17.6628|2874|2|4527|Unknown|0000000000||9781844033539,9781402751844,9780806977737,9780446342964,9781593371098
2011-08-08 16:33:17.9753|2826|7|4298|Unknown|0000000000||
2011-08-08 16:33:18.3659|2709|11|986|Unknown|0000000000||9780743235273,9781585421466,9781585425525,9780446670036,9780452267565
2011-08-08 16:33:18.8815|2091|1|1246|Member|5078692192||
2011-08-08 16:33:19.1159|2249|5|7039|Unknown|0000000000||
2011-08-08 16:33:19.2409|2106|2|4597|Unknown|0000000000||9780142002834,9781439155202,9781451621457,9780061969843,9780060565558
2011-08-08 16:33:19.3191|2209|10|6884|Unknown|0000000000||
2011-08-08 16:33:19.7722|2162|5|1879|Unknown|0000000000||9780830099184,9780830099177,9780641046803
2011-08-08 16:33:21.8816|2587|4|6928|Unknown|0000000000||9781593697587,9781593697594,9781593698362,9781554531578,9781593696825
2011-08-08 16:33:21.9754|2224|10|7939|Employee|15902704420||
2011-08-08 16:33:22.0066|2292|11|7589|Unknown|0000000000||
2011-08-08 16:33:22.1316|2070|9|7410|Unknown|0000000000||
2011-08-08 16:33:22.4129|2030|10|7812|Member|5031720766||
2011-08-08 16:33:22.5066|2313|14|4730|Unknown|0000000000||
2011-08-08 16:33:22.5847|2851|9|1577|Member|5214890150||
2011-08-08 16:33:22.8035|2720|9|1214|Unknown|0000000000||9780312578602,9780547258300,9781416912057,9780385737944,9780312535711
